,City,Latitude,Longitude
0,Athens,33.9597677,-83.376398
1,Berlin,52.5170365,13.3888599
2,Brussels,50.8465573,4.351697
3,Genoa,44.40726,8.9338624
4,Madrid,40.4167047,-3.7035825
5,Zurich,47.3769434,8.5414061
